Age,Sex,L,M,S,T,Percentiles_3,Percentiles_5,Percentiles_10,Percentiles_25,Percentiles_50,Percentiles_75,Percentiles_90,Percentiles_95,Percentiles_97
52,F,0.61,14097,0.23,2.83,8130,8869,10005,11914,14097,16421,18717,20224,21272
53,F,0.61,14038,0.23,2.87,8084,8820,9951,11857,14038,16358,18644,20142,21180
54,F,0.62,13979,0.23,2.92,8035,8767,9896,11798,13979,16297,18577,20065,21096
55,F,0.62,13920,0.24,2.96,7982,8712,9838,11739,13920,16238,18513,19994,21017
56,F,0.63,13862,0.24,3.01,7926,8654,9777,11678,13862,16181,18453,19928,20944
57,F,0.63,13803,0.24,3.06,7866,8591,9713,11615,13803,16125,18394,19864,20875
58,F,0.64,13738,0.24,3.12,7799,8523,9643,11547,13738,16064,18332,19797,20803
59,F,0.64,13664,0.24,3.17,7724,8445,9565,11469,13664,15993,18260,19721,20721
60,F,0.65,13577,0.24,3.23,7638,8357,9474,11379,13577,15908,18172,19627,20622
61,F,0.65,13473,0.25,3.29,7541,8257,9371,11274,13473,15804,18064,19513,20501
62,F,0.66,13352,0.25,3.36,7432,8144,9255,11155,13352,15681,17935,19377,20358
63,F,0.66,13213,0.25,3.42,7311,8019,9125,11019,13213,15537,17783,19216,20189
64,F,0.67,13056,0.25,3.49,7179,7882,8981,10868,13056,15373,17608,19031,19995
65,F,0.67,12883,0.26,3.56,7036,7734,8826,10703,12883,15191,17412,18824,19779
66,F,0.68,12695,0.26,3.63,6884,7576,8659,10526,12695,14992,17198,18597,19543
67,F,0.68,12496,0.26,3.71,6725,7409,8484,10339,12496,14779,16969,18355,19290
68,F,0.69,12289,0.26,3.78,6559,7237,8303,10144,12289,14557,16730,18103,19027
69,F,0.69,12076,0.27,3.86,6389,7061,8117,9946,12076,14330,16486,17845,18759
70,F,0.7,11861,0.27,3.94,6216,6881,7929,9744,11861,14100,16239,17585,18490
71,F,0.7,11644,0.27,4.01,6041,6700,7738,9540,11644,13868,15991,17324,18219
72,F,0.71,11426,0.28,4.09,5864,6516,7546,9335,11426,13635,15742,17063,17948
73,F,0.71,11206,0.28,4.17,5684,6330,7352,9128,11206,13401,15491,16800,17677
74,F,0.72,10981,0.29,4.25,5501,6141,7154,8918,10981,13162,15235,16533,17401
75,F,0.72,10752,0.29,4.33,5315,5949,6953,8703,10752,12916,14973,16258,17117
76,F,0.73,10516,0.29,4.41,5126,5754,6748,8483,10516,12663,14701,15973,16822
77,F,0.73,10272,0.3,4.49,4934,5555,6539,8257,10272,12400,14419,15677,16517
78,F,0.74,10022,0.3,4.57,4740,5352,6325,8027,10022,12129,14126,15369,16198
79,F,0.74,9765,0.31,4.65,4544,5148,6109,7791,9765,11848,13822,15050,15867
80,F,0.75,9503,0.31,4.73,4348,4944,5892,7553,9503,11561,13509,14720,15526
